SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Hf,Nb,Ni,Rb,Sr,Ta,Th,U,Y,Zr,Tectonic_Setting,LATITUDE,LONGITUDE
50.7,1.23,15.9,9,0.168,8,12.22,2.41,0.333,0.144,7,16.74,2.14,9.69,2.55,0.98,2.82,0.46,2.96,0.61,1.75,0.25,1.66,0.24,80.3,345,1.68,10.67,103,7.06,162,0.594,0.816,0.24,20,70,MORB,14.9,-44.9
50.6,1.22,15.9,8.9,0.167,8.2,12.14,2.39,0.328,0.142,7.02,16.69,2.15,9.77,2.54,0.97,2.83,0.47,2.97,0.62,1.75,0.25,1.69,0.24,80,341,1.71,10.66,109,7.04,162,0.598,0.827,0.243,20,69,MORB,14.9,-44.9
50.9,1.22,15.8,8.9,0.167,8.1,12.09,2.39,0.331,0.147,7.1,16.82,2.15,9.76,2.57,0.98,2.84,0.47,2.98,0.62,1.77,0.25,1.68,0.25,80.4,345,1.71,10.78,106,7.14,165,0.599,0.824,0.237,20,71,MORB,14.9,-44.9
51.2,1.02,15.8,8.9,0.165,8.4,11.92,2.21,0.223,0.108,7.79,17.95,2.39,11.31,3.11,1.15,3.73,0.61,3.94,0.83,2.36,0.33,2.2,0.33,81,370,2.19,10.55,125,6.01,178,0.632,0.698,0.199,22,86,MORB,14.958,-45.006
50.9,1.03,15.9,9.01,0.167,8.6,11.92,2.19,0.225,0.108,7.71,17.8,2.36,11.23,3.1,1.14,3.67,0.61,3.91,0.81,2.34,0.33,2.2,0.33,80.4,370,2.16,10.45,129,6,176,0.63,0.698,0.199,22,86,MORB,14.958,-45.006
50.9,1.02,15.8,8.92,0.166,8.7,11.98,2.2,0.222,0.105,8.06,18.31,2.42,11.67,3.21,1.18,3.87,0.63,4.13,0.86,2.47,0.35,2.31,0.35,82.1,372,2.33,11,135,6.16,176,0.67,0.728,0.202,24,94,MORB,14.958,-45.006
52.2,1.21,15.3,9,0.168,8.4,10.78,2.36,0.403,0.148,10.18,22.78,2.84,12.79,3.29,1.21,3.78,0.62,3.93,0.82,2.34,0.33,2.17,0.32,110.3,337,2.35,14.76,142,8.63,198,0.879,0.972,0.302,22,96,MORB,15.028,-44.93
52,1.22,15.4,9,0.167,8.5,10.83,2.37,0.405,0.149,10.37,22.71,2.86,13.05,3.38,1.22,3.89,0.64,4.07,0.84,2.42,0.34,2.24,0.33,110.4,335,2.46,14.78,146,8.52,199,0.893,0.997,0.297,22,98,MORB,15.029,-44.931
51.5,1.35,15.6,9.1,0.168,7.7,11.47,2.53,0.419,0.163,10.97,24.24,3.09,14.16,3.73,1.34,4.22,0.69,4.43,0.91,2.62,0.37,2.46,0.37,119.2,235,2.69,15.82,100,9.26,211,0.965,1.091,0.31,24,107,MORB,15.033,-44.939
52.2,1.34,15,9,0.165,7.7,11.56,2.41,0.4,0.166,10.13,22.92,2.9,12.99,3.35,1.23,3.77,0.61,3.9,0.81,2.3,0.33,2.16,0.32,110.8,330,2.35,15.17,104,8.69,200,0.886,1.015,0.294,21,97,MORB,15.03,-44.94
51.1,1.37,15.9,9.1,0.167,8,11.23,2.54,0.45,0.17,10.89,23.15,3.02,13.83,3.63,1.29,4.19,0.68,4.35,0.91,2.6,0.37,2.38,0.37,111.6,331,2.68,15.6,109,8.55,205,0.998,1.116,0.299,25,110,MORB,15.03,-44.94
51.1,1.33,15.6,9.2,0.169,8.3,11.31,2.48,0.409,0.163,10.52,23.37,2.97,13.48,3.54,1.29,4.04,0.66,4.21,0.87,2.48,0.35,2.34,0.35,115.8,233,2.56,15.34,124,9.01,208,0.923,1.039,0.304,23,102,MORB,15.033,-44.939
51.7,1.32,15.3,9.1,0.165,8.4,10.92,2.5,0.441,0.17,10.24,22.99,2.94,13.26,3.43,1.25,3.9,0.63,4.07,0.83,2.4,0.34,2.26,0.34,111.1,334,2.47,14.83,142,8.45,200,0.915,1.028,0.282,22,97,MORB,15.03,-44.94
51.2,1.35,15.6,9.1,0.167,8.4,11.11,2.54,0.448,0.161,10.38,23.2,2.98,13.36,3.43,1.24,3.89,0.63,4.03,0.87,2.39,0.33,2.22,0.33,112.2,343,2.43,15.4,135,8.58,199,0.909,1.041,0.299,22,99,MORB,15.03,-44.94
51.1,1.35,15.5,9.1,0.167,8.5,11.08,2.51,0.446,0.17,10.1,22.89,2.88,12.96,3.34,1.23,3.76,0.61,3.9,0.81,2.29,0.32,2.15,0.32,110.6,326,2.35,14.99,135,8.57,201,0.878,1.011,0.297,22,97,MORB,15.03,-44.94
51.2,1.35,15.4,9.2,0.168,8.5,11.06,2.54,0.449,0.165,10.07,22.95,2.88,12.89,3.33,1.22,3.78,0.61,3.91,0.81,2.32,0.32,2.18,0.32,109.9,332,2.37,14.86,133,8.67,197,0.888,1.018,0.3,21,96,MORB,15.03,-44.94
51.1,1.32,15.4,9.2,0.168,8.6,11.2,2.45,0.407,0.164,10.39,22.94,2.94,13.35,3.51,1.27,4.01,0.65,4.17,0.87,2.48,0.35,2.33,0.35,113.5,231,2.57,14.98,148,8.83,203,0.918,1.051,0.306,23,100,MORB,15.033,-44.939
51.3,1.35,15.3,9.1,0.167,8.6,11.02,2.55,0.45,0.163,9.98,22.72,2.87,12.84,3.31,1.21,3.72,0.61,3.84,0.8,2.29,0.32,2.14,0.32,109.3,330,2.33,14.94,132,8.61,195,0.867,0.998,0.302,21,95,MORB,15.03,-44.94
51.1,1.32,15.4,9.1,0.168,8.6,11.23,2.46,0.408,0.165,10.6,23.18,2.99,13.69,3.61,1.3,4.09,0.68,4.29,0.89,2.56,0.36,2.4,0.36,115.2,231,2.63,15.23,146,8.92,205,0.938,1.077,0.31,23,103,MORB,15.033,-44.939
50.7,1.33,15.7,9.2,0.168,8.6,11.32,2.46,0.409,0.16,10.63,23.33,3,13.69,3.59,1.3,4.12,0.67,4.28,0.88,2.54,0.36,2.38,0.36,115.9,231,2.61,15.2,147,9.04,207,0.936,1.066,0.311,23,103,MORB,15.033,-44.939
51.4,1.32,15.4,9.1,0.166,8.6,10.87,2.49,0.44,0.168,10.43,23.04,2.98,13.47,3.5,1.26,4,0.65,4.15,0.85,2.46,0.35,2.31,0.35,111.8,331,2.54,15.12,143,8.52,202,0.936,1.052,0.282,22,99,MORB,15.03,-44.94
51,1.34,15.5,9.1,0.166,8.7,11.01,2.53,0.447,0.165,10.16,22.61,2.88,12.96,3.36,1.22,3.76,0.61,3.97,0.82,2.34,0.33,2.18,0.33,109.5,332,2.41,15.07,149,8.65,199,0.897,1.024,0.294,22,98,MORB,15.03,-44.94
51.5,1.32,15.2,9.1,0.166,8.7,10.89,2.52,0.446,0.166,10.03,22.76,2.88,12.91,3.34,1.22,3.75,0.61,3.88,0.81,2.3,0.33,2.15,0.32,109.5,335,2.34,14.95,147,8.56,197,0.879,1.006,0.296,21,96,MORB,15.03,-44.94
50.9,1.35,15.5,9.1,0.166,8.7,11.14,2.54,0.446,0.161,9.86,22.3,2.81,12.72,3.28,1.19,3.71,0.6,3.86,0.8,2.27,0.32,2.14,0.32,107.3,335,2.32,14.63,150,8.47,192,0.864,1,0.292,21,95,MORB,15.03,-44.94
50.7,1.34,15.7,9.2,0.167,8.8,11.04,2.51,0.446,0.168,10.32,22.61,2.91,13.28,3.48,1.24,3.96,0.65,4.17,0.86,2.49,0.35,2.34,0.35,109.8,342,2.53,15.26,144,8.58,200,0.916,1.112,0.302,23,102,MORB,15.03,-44.94
51.1,1.34,15.5,9.1,0.165,8.7,11,2.49,0.443,0.168,10.6,22.99,2.98,13.55,3.55,1.28,4.03,0.66,4.23,0.88,2.52,0.35,2.34,0.35,111.2,331,2.59,15.44,143,8.46,204,0.944,1.097,0.293,23,104,MORB,15.03,-44.94
51,1.27,15.4,9,0.167,8.8,11.37,2.46,0.4,0.142,9.05,20.71,2.65,12.07,3.16,1.16,3.57,0.58,3.77,0.78,2.23,0.31,2.1,0.32,100.3,329,2.19,13.09,138,7.69,191,0.782,0.92,0.262,20,86,MORB,15.03,-44.94
50.3,1.15,15.8,8.9,0.166,9.1,11.87,2.33,0.318,0.116,7.41,17.1,2.23,10.45,2.82,1.05,3.3,0.55,3.54,0.73,2.13,0.31,2,0.3,80.4,334,1.94,10.22,136,5.87,169,0.629,0.755,0.219,19,75,MORB,15.03,-44.94
50.9,1.13,15.5,8.9,0.165,9,11.66,2.31,0.316,0.121,7.35,16.76,2.2,10.3,2.78,1.06,3.21,0.53,3.46,0.72,2.07,0.3,1.97,0.29,80.2,330,1.92,10.26,134,5.95,170,0.629,0.734,0.201,19,74,MORB,15.03,-44.94
51.4,1.13,15.4,8.9,0.164,8.8,11.56,2.31,0.32,0.125,7.34,16.75,2.2,10.29,2.79,1.05,3.24,0.54,3.45,0.72,2.08,0.29,1.99,0.3,79.9,327,1.92,10.33,128,5.93,171,0.615,0.736,0.203,19,74,MORB,15.03,-44.94
51.6,1.14,15.7,9,0.166,8.5,11.11,2.32,0.374,0.138,9.34,21.16,2.6,11.77,3.05,1.14,3.59,0.58,3.78,0.78,2.28,0.32,2.12,0.31,103.4,349,2.19,13.32,147,7.94,196,0.809,0.883,0.275,21,88,MORB,15.034,-44.937
50.9,1.21,15.6,9,0.167,8.5,11.74,2.38,0.359,0.148,7.73,17.85,2.25,10.05,2.58,1,2.89,0.48,3.04,0.64,1.82,0.26,1.73,0.26,88.2,369,1.75,11.78,132,7.92,173,0.65,0.909,0.26,20,73,MORB,15.034,-44.937
51.9,1.23,15.3,9.1,0.169,8.6,10.83,2.36,0.401,0.149,10.12,22.95,2.83,12.77,3.31,1.21,3.84,0.63,3.97,0.83,2.39,0.33,2.2,0.33,110.4,334,2.39,14.49,152,8.52,190,0.879,0.965,0.297,21,95,MORB,15.034,-44.939
50.6,1.54,16.4,9.4,0.174,7.4,11.1,2.71,0.49,0.192,12.72,28.64,3.65,16.48,4.2,1.46,4.7,0.76,4.82,0.99,2.83,0.4,2.63,0.39,116.4,258,3.17,17.43,92,9.35,219,1.055,1.169,0.331,26,132,MORB,15.082,-44.977
50.8,1.53,16.3,9.4,0.173,7.4,11.09,2.69,0.483,0.189,12.88,28.97,3.69,16.59,4.28,1.47,4.78,0.77,4.85,1,2.86,0.4,2.66,0.39,117.6,260,3.21,17.47,94,9.36,218,1.062,1.179,0.337,27,132,MORB,15.082,-44.977
53.4,1.42,15.2,8.9,0.163,6.9,10.69,2.56,0.535,0.204,14.34,32.6,4.02,17.76,4.34,1.52,4.72,0.75,4.69,0.96,2.73,0.38,2.54,0.38,143.1,237,3.29,20.14,81,11.4,237,1.213,1.394,0.44,25,134,MORB,15.082,-44.982
53.3,1.35,15.2,9.2,0.168,7.2,10.6,2.44,0.389,0.173,11.3,26.46,3.38,15.32,3.98,1.43,4.53,0.74,4.7,0.97,2.8,0.39,2.62,0.39,105.7,258,2.95,15.1,92,8.16,201,0.924,1.012,0.299,26,116,MORB,15.102,-44.946
53.1,1.6,15.1,9.6,0.175,6.3,11.45,2.84,0.635,0.251,13.32,29.38,3.67,15.96,3.93,1.36,4.13,0.65,4.04,0.83,2.34,0.33,2.17,0.32,144,184,2.93,20.96,65,13.87,214,1.143,1.715,0.491,27,126,MORB,15.118,-44.843
