SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Hf,Nb,Ni,Rb,Sr,Ta,Th,U,Y,Zr,Tectonic_Setting,LATITUDE,LONGITUDE
50.903333333333336,1.2025333333333335,15.723333333333334,8.586666666666666,0.13583333333333333,7.743333333333333,11.846666666666666,2.563333333333333,0.3232,0.11753333333333334,6.038555392735888,14.257613776256965,1.9967077154043509,9.49673616748354,2.875347630579865,1.0626341531110983,3.665445117050487,0.6438750284702194,4.232475436602136,0.9120093252734343,2.7144555200008385,0.38083590247976584,2.607417668072749,0.39164303245050974,52.6388238211571,337.55393811325126,1.9937744047697372,6.369250751116198,106.83406802414162,6.341138563040341,148.03617573183587,0.38504212946689975,0.6992025045194964,0.1805718510709371,23.784428656732285,73.82711240117173,MORB,-14.65,66.33
50.410000000000004,1.1801000000000001,15.666666666666666,9.316666666666668,0.15156666666666666,7.933333333333333,11.713333333333333,2.5466666666666664,0.16336666666666666,0.10586666666666666,6.622642407865051,15.67647882476489,2.1788203965869015,10.28141509786496,3.0531443009133046,1.1132134880543416,3.8733321959063027,0.6762971757584465,4.499455086564632,0.9650680425110435,2.8047914588037544,0.39245151717637894,2.731290802495504,0.4008122544018149,57.49393526888531,306.76544623874526,2.182025504125834,7.100921161617495,98.68626450576612,6.882252311947249,150.6653737200953,0.41656816971157595,0.7746737263895426,0.18845413937997035,25.327707556939334,81.34611140848081,MORB,-14.65,66.33
50.410000000000004,1.1801000000000001,15.666666666666666,9.316666666666668,0.15156666666666666,7.933333333333333,11.713333333333333,2.5466666666666664,0.16336666666666666,0.10586666666666666,4.871499681091818,12.286109188841086,1.8007925099896323,8.920361361433754,2.8121537946650403,1.0455278889476853,3.7142168635314783,0.6616724607988487,4.479898635605226,0.9735589645053756,2.8734961972124253,0.4062871076503814,2.7976855087744874,0.4113818367682451,38.19344121489997,330.99271321956013,1.9580611318791874,4.764150065439053,114.23116743075944,4.583955276997577,129.58080151105705,0.2807209778330435,0.5090157492852644,0.12024072314011881,25.578447591680856,72.70356692659003,MORB,-14.65,66.33
50.98,1.1882333333333335,15.636666666666665,8.833333333333334,0.1462,8.020000000000001,11.889999999999999,2.4433333333333334,0.20216666666666663,0.12633333333333333,4.164175596280851,10.667264379114767,1.6136327748528976,8.359671491025983,2.7819855181910835,1.0329464805138489,3.6858392988244244,0.6610469143141487,4.422544180333031,0.9658952202002178,2.790184383207387,0.39277882541182446,2.6952720829429655,0.394316285401714,38.56153006295829,378.36864551187796,1.9357341931225875,4.377673830991411,128.32663195708128,4.127964845061514,113.17837527029256,0.25755797713854417,0.3993048944782585,0.11159191916449535,24.83251840945387,66.74822251008577,MORB,-14.92,66.82
51.332499999999996,1.41725,15.4525,9.045,0.154975,7.545,11.080000000000002,2.7825,0.19327500000000003,0.13474999999999998,4.120028319989181,11.678257441437566,1.8639688221069273,10.028153077207895,3.3782924572194433,1.2314009232850343,4.487187453632655,0.7973269301947278,5.347313770173713,1.1482002427895905,3.358609490422967,0.46982163169832175,3.1565549742253656,0.46403658898587336,30.634887062680793,293.3183095103813,2.4228168234871017,3.9540801815286684,112.54435498700703,3.2850130133840523,116.47941853687011,0.24722244707150468,0.3318262980094191,0.10394584079671206,29.992774116828105,85.28922964080513,MORB,-15.12,66.98
51.343333333333334,1.4116,15.469999999999999,9.146666666666667,0.165,7.483333333333334,11.07,2.813333333333333,0.19096666666666665,0.14303333333333335,4.125975135936134,11.681579300944499,1.851028850152008,9.9208368766536,3.386883473102817,1.2144172476680126,4.5737577123345945,0.8066403747103367,5.353128563757553,1.1434654310129766,3.3690672502451027,0.4684167660883149,3.222249463312535,0.47121376471677817,30.736775745672727,294.8011490748328,2.42018358784462,3.9206301241299992,112.18899345513614,3.4059343243829723,116.15385112948978,0.23954765860947694,0.32950223931557465,0.09624686232673756,29.990750574414722,85.60772922698516,MORB,-15.12,66.98
51.224999999999994,1.45575,15.420000000000002,9.4025,0.1622,7.555,11.06,2.81,0.1987,0.13325,4.203311405516636,11.892135832385195,1.8871262351190616,10.159512406213146,3.4199009938963303,1.235620380309593,4.620793792137152,0.81287106202373,5.460115390466949,1.1630980868732033,3.393320015160205,0.4646309420437138,3.2061143488622235,0.48058326124278733,31.204418639128615,300.6081740542038,2.448400019014299,4.073431507365292,111.12324807320955,3.3967856732869848,116.11130481367927,0.24767907159117283,0.33593906195625395,0.09965158700591055,30.428554686141496,86.49587315168742,MORB,-15.12,66.98
51.457499999999996,1.3921249999999998,15.040000000000001,9.7,0.19474999999999998,7.557499999999999,11.14,2.5675,0.124375,0.12675,3.109480295851361,9.268534796397878,1.5576977489621229,8.65836337268151,3.1069042595722185,1.1501416768730415,4.4260987996921,0.7898669225860301,5.418233385288944,1.172973017074639,3.449277502040001,0.4773976170096486,3.3119119784063074,0.486108777880651,15.242529638282322,250.1725321373219,2.1871458794663527,2.5388430352347107,104.42083150801439,1.7292027867068234,92.24233007534924,0.1533784170046849,0.20708640574293216,0.06494329549463762,30.528089590329106,74.00784221942153,MORB,-15.35,67.2
51.4975,1.3982,14.9725,9.787500000000001,0.1837,7.51,11.132499999999999,2.6225,0.120725,0.121275,3.0862285171745403,9.170683528949947,1.5473557216787732,8.57005524527858,3.1354968849985334,1.1459226667979365,4.375420457824403,0.7870932835319443,5.30838954656149,1.1606327028111973,3.362347232129419,0.47524713786205214,3.270875939236298,0.48382763911899024,15.075006027297796,248.04243684485758,2.189477984642688,2.4994622459506357,103.06559305113102,1.6891637079162793,93.40785179844215,0.15419162864321453,0.20954635996894735,0.06159100281527987,30.18948293641465,73.11481777901419,MORB,-15.35,67.2
51.635,1.3342,15.052500000000002,9.9875,0.154425,7.56,11.18,2.62,0.1118,0.12587500000000001,3.1672402307346785,9.504958539176107,1.5972866874009244,8.879584933104923,3.2613818924563085,1.2028108608796255,4.497457376132066,0.8177648465810856,5.61421995532449,1.2281216691448897,3.576556908065363,0.4965436353059205,3.413073735054915,0.502929153810559,15.537151443927563,251.1078566779032,2.3037526908105317,2.604166651089843,104.60438075697773,1.690847199017293,94.16446344540442,0.1599379977333268,0.22585343910902986,0.06686320182945253,30.77804373158757,75.28542038779581,MORB,-15.35,67.2
